country,code,territory_code,region,year,total_population ,hospials_per_capita,cases_per_100k,total_cases,m_0to14_cases,m_15to34_cases,m_35to54_cases,m_55plus_cases,total_male_cases,f_0to14_cases,f_15to34_cases,f_35to54_cases,f_55plus_cases,total_female_cases,recovery_rate,economic_impact,case_severity,time_interval,prevelance_detection,prevelance_per_100k_ex_HIV,total_prevelance_ex_HIV,prevelance_per_100k_in_HIV,total_prevelance_in_HIV,death_detection,incidence_per_100k,total_incidence,incidence_per_100k_pos_HIV,total_incidence_pos_HIV,total_detection_rate
Afghanistan,AFG,4,EMR,1990,11731193,3.81,306,36000,1425,3730,5708,7437,18300,1175,3394,5458,7673,17700,98.56,high,moderate,Early Detection,predicted,37,4300,0.04,5,Indirect,189,22000,0.11,12,20
Afghanistan,AFG,4,EMR,1991,12612043,9.51,343,43000,1303,3996,6000,8592,19891,1493,4546,7421,9649,23109,68.62,medium,moderate,Early Detection,predicted,46,5800,0.06,8,Indirect,191,24000,0.13,17,96
Afghanistan,AFG,4,EMR,1992,13811876,7.35,371,51000,1877,4895,7538,10956,25266,2070,5017,8098,10549,25734,68.58,medium,severe,Recovery,predicted,54,7400,0.08,11,Indirect,191,26000,0.16,22,66.5
Afghanistan,AFG,4,EMR,1993,15175325,6.03,392,59000,1759,5396,10097,14789,32040,2035,5687,8329,10909,26960,59.75,low,moderate,Early Detection,predicted,60,9100,0.11,17,Indirect,189,29000,0.19,28,59.1
Afghanistan,AFG,4,EMR,1994,16485018,1.64,410,68000,2623,6208,9579,13310,31720,2213,7009,11618,15440,36280,55.72,low,moderate,Early Detection,predicted,65,11000,0.13,22,Indirect,188,31000,0.21,35,53
Afghanistan,AFG,4,EMR,1995,17586073,1.64,424,75000,1960,6439,10533,14963,33896,2623,8161,12931,17390,41104,87.02,low,moderate,Advanced Infection,predicted,69,12000,0.15,27,Indirect,188,33000,0.23,41,64.4
Afghanistan,AFG,4,EMR,1996,18415307,0.68,438,81000,2351,7080,12207,17098,38736,2638,8575,13425,17626,42264,88.5,high,mild,Recovery,predicted,71,13000,0.17,32,Indirect,188,35000,0.25,47,28.6
Afghanistan,AFG,4,EMR,1997,19021226,8.68,448,85000,3936,8614,14265,18737,45551,2716,7618,12470,16646,39449,98.45,medium,moderate,Early Detection,predicted,72,14000,0.19,37,Indirect,189,36000,0.28,53,3.6
Afghanistan,AFG,4,EMR,1998,19496836,6.05,454,88000,2916,7957,12745,18000,41618,2954,9177,14152,20100,46382,88.67,medium,mild,Recovery,predicted,72,14000,0.21,41,Indirect,189,37000,0.3,59,8.3
Afghanistan,AFG,4,EMR,1999,19987071,7.11,446,89000,2115,7140,12518,18729,40502,3876,9128,14807,20687,48498,62.17,high,severe,Early Detection,predicted,71,14000,0.22,44,Indirect,190,38000,0.32,64,8.7
Afghanistan,AFG,4,EMR,2000,20595360,0.3,430,89000,2269,8168,13704,19522,43663,3145,7882,14549,19760,45337,52.01,low,moderate,Recovery,predicted,68,14000,0.22,46,Indirect,190,39000,0.34,70,18
Afghanistan,AFG,4,EMR,2001,21347782,9.7,414,88000,2641,7651,14079,19493,43864,3487,8781,13277,18591,44136,99.27,low,moderate,Early Detection,predicted,64,14000,0.22,47,Indirect,189,40000,0.36,76,25
Afghanistan,AFG,4,EMR,2002,22202806,8.34,397,88000,2601,8250,14043,20440,45333,2358,8807,13488,18015,42667,67.02,high,mild,Advanced Infection,predicted,59,13000,0.22,48,Indirect,189,42000,0.38,84,33
Afghanistan,AFG,4,EMR,2003,23116142,2.2,377,87000,3681,8294,12737,19151,43863,3370,8033,12721,19013,43137,65.6,medium,severe,Recovery,predicted,54,13000,0.21,49,Indirect,189,44000,0.4,92,32
Afghanistan,AFG,4,EMR,2004,24018682,1.9,361,87000,2932,8387,12424,17707,41449,3842,9342,13577,18789,45551,95.3,medium,moderate,Recovery,predicted,50,12000,0.21,50,Indirect,189,45000,0.42,100,41
Afghanistan,AFG,4,EMR,2005,24860855,1.92,351,87000,2980,7698,13357,19117,43152,3311,8406,14013,18117,43848,79.25,medium,severe,Early Detection,predicted,46,12000,0.21,52,Indirect,189,47000,0.45,110,47
Afghanistan,AFG,4,EMR,2006,25631282,3.11,342,88000,3658,8499,13150,19459,44766,3870,8572,12957,17835,43234,60.74,medium,severe,Recovery,predicted,44,11000,0.21,54,Indirect,189,48000,0.48,120,53
Afghanistan,AFG,4,EMR,2007,26349243,5.3,334,88000,3603,9774,14737,20832,48946,3211,7462,12287,16094,39054,94.45,high,moderate,Early Detection,predicted,42,11000,0.22,57,Indirect,189,50000,0.51,130,58
Afghanistan,AFG,4,EMR,2008,27032197,4.38,331,90000,2913,7486,13245,18216,41860,3814,9257,14854,20215,48140,99.67,medium,severe,Recovery,predicted,41,11000,0.22,60,Indirect,189,51000,0.53,140,55
Afghanistan,AFG,4,EMR,2009,27708187,2.98,329,91000,3599,9456,14655,20934,48644,3067,8793,13081,17415,42356,54.33,high,severe,Recovery,predicted,41,11000,0.23,63,Indirect,189,52000,0.56,160,50
Afghanistan,AFG,4,EMR,2010,28397812,6.16,329,93000,3737,10191,15706,22792,52426,3428,8014,12061,17070,40574,93.11,low,moderate,Advanced Infection,predicted,41,12000,0.24,68,Indirect,189,54000,0.58,170,52
Afghanistan,AFG,4,EMR,2011,29105480,1.48,332,97000,4220,10290,16195,21933,52637,3694,8706,13749,18214,44363,69.53,high,mild,Advanced Infection,predicted,41,12000,0.25,72,Indirect,189,55000,0.6,180,51
Afghanistan,AFG,4,EMR,2012,29824536,2.99,335,100000,4322,10639,15806,20589,51357,3781,9288,14843,20731,48643,76.2,medium,moderate,Recovery,predicted,42,12000,0.25,76,Indirect,189,56000,0.62,190,51
Afghanistan,AFG,4,EMR,2013,30551674,3.73,340,100000,3155,10668,19175,25336,58334,2917,7595,13054,18099,41666,95.74,low,severe,Advanced Infection,predicted,42,13000,0.27,82,Indirect,189,58000,0.64,200,53
Albania,ALB,8,EUR,1990,3446882,4.62,36,1200,50,115,189,257,611,43,106,184,257,589,98.67,high,moderate,Recovery,predicted,1.8,63,0,0,VR imputed,24,840,21,5270.6,78
Albania,ALB,8,EUR,1991,3459763,7.87,35,1200,50,135,207,267,659,37,101,163,239,541,63.11,high,mild,Early Detection,predicted,1.7,58,0,0,VR imputed,24,840,0.8,1348.8,74
Albania,ALB,8,EUR,1992,3446858,2.08,34,1200,39,103,170,242,554,42,126,200,278,646,60.64,high,severe,Recovery,predicted,1.1,37,0,0,VR,24,840,29.3,2029.2,53.4
